STATE,SITE_NAME,ESA_CODE,MDF_CODE,ISAM_AVAIL_PRTS_MAX_20MBPS,ADDNL_AVAIL_PRTS_MAX_20MBPS,ADDNL_AVAIL_PRTS_MAX_8MBPS,TOTAL_AVAIL_PRTS
SA,WHYALLA JENKINS,WHJS,WHJS01,767,136,0,903
SA,WHYALLA,WHLA,WHLA01,1486,314,0,1800
VIC,WHEELERS HILL,WHLL,WHLL01,474,0,0,474
NSW,WHITTON,WHTN,WHTN01,172,0,0,172
TAS,WINNALEAH,WIAH,WIAH01,130,0,0,130
WA,WITCHCLIFFE,WICH,WICH01,119,0,0,119
NSW,WIANGAREE,WIEE,WIEE01,140,0,0,140
SA,WILLUNGA,WIGA,WIGA01,0,541,230,771
WA,WICKHAM,WIKM,WIKM01,305,0,0,305
NSW,WILCANNIA,WILC,WILC01,0,0,22,22
NSW,WILLOUGHBY,WILL,WILL01,312,0,0,312
NSW,WILTON,WILT,WILT01,0,0,0,0
WA,WILUNA,WILU,WILU01,34,0,0,34
VIC,WINCHELSEA,WINC,WINC01,363,0,0,363
QLD,WOODBINE,WINE,WINE01,75,0,0,75
NSW,WINGHAM,WING,WING01,691,0,0,691
VIC,WINCHELSEA SOUTH,WINS,WINS01,155,0,0,155
QLD,WINTON,WINT,WINT01,111,0,0,111
TAS,WILMOT,WIOT,WIOT01,145,0,0,145
VIC,WINDSOR,WIRC,WIRC01,835,0,0,835
QLD,WITHCOTT,WITH,WITH01,296,0,0,296
QLD,WITTA,WITT,WITT01,101,0,0,101
VIC,WARRACKNABEAL,WKBL,WKBL01,192,0,0,192
QLD,WALKERSTON,WKON,WKON01,315,0,0,315
SA,WAIKERIE,WKRE,WKRE01,496,0,0,496
NSW,WYRALLAH,WLAH,WLAH01,284,0,0,284
VIC,WALLAN HIDDEN VALLEY,WLAN,WLAL01,176,0,213,389
VIC,WALLAN,WLAN,WLAN01,1337,183,25,1545
QLD,WOONGOOLBA,WLBA,WLBA01,236,0,10,246
NSW,WALLENDBEEN,WLBN,WLBN01,134,0,0,134
NSW,WARRELL CREEK,WLCK,WLCK01,328,0,0,328
NSW,WALCHA ROAD,WLCR,WLCR01,0,0,0,0
NSW,WALGETT,WLET,WLET01,178,52,131,361
NSW,WOLLONGONG,WLGG,WLGG01,4642,0,317,4959
QLD,WULGURU,WLGU,WLGU01,0,0,301,301
NSW,WALCHA,WLHA,WLHA01,0,0,0,0
QLD,WOOROOLIN,WLIN,WLIN01,144,0,0,144
SA,WILMINGTON,WLMG,WLMG01,52,0,0,52
VIC,WOOMELANG,WLNG,WLNG01,0,0,0,0
VIC,WILLAURA,WLRA,WLRA01,0,108,0,108
VIC,WOLLERT,WLRT,WLRT01,108,0,0,108
NSW,WALLSEND,WLSD,WLSD01,3625,0,0,3625
WA,WELLINGTON,WLTE,WLTE01,59,0,643,702
SA,WILLIAMSTOWN,WLTN,WLTN01,140,0,0,140
VIC,WALWA,WLWA,WLWA01,0,22,0,22
QLD,WILLOWS,WLWS,WLWS01,176,0,0,176
QLD,WALLUMBILLA,WMBA,WMBA01,0,0,0,0
NSW,WAMBOIN,WMBN,WMBN01,0,43,0,43
WA,WEMBLEY,WMBY,WMBY01,2,0,1984,1986
NSW,WILLIAMSDALE,WMLE,WMLE01,299,0,0,299
NSW,WARRIMOO,WMOO,WMOO01,194,0,0,194
SA,WOOMERA,WMRA,WMRA01,0,102,0,102
NSW,WILLIAMTOWN,WMTN,WMTN01,32,0,0,32
VIC,WARNEET,WNET,WNET01,155,0,0,155
NSW,WANGI WANGI,WNGI,WNGI01,0,0,0,0
WA,WONGAN HILLS,WNGN,WNGN01,235,0,0,235
VIC,WARRENHEIP,WNHP,WNHP01,0,367,0,367
SA,WINKIE,WNKE,WNKE01,144,0,0,144
NSW,WINMALEE,WNML,WNML01,318,0,0,318
WA,WANNEROO DA053,WANO,WNRK01,0,32,20,52
QLD,WINDAROO,WNRO,WNRO01,773,0,224,997
WA,WANNEROO CA009,WANO,WNUS01,90,0,312,402
QLD,WOOLLOONGABBA,WOBB,WOBB01,223,0,2176,2399
NSW,WOLLOMBI,WOBI,WOBI01,0,33,0,33
QLD,WOODSTOCK,WOCK,WOCK01,155,0,0,155
SA,WATERLOO CORNER,WOCR,WOCR01,3,0,0,3
VIC,WOODSIDE,WOID,WOID01,162,0,0,162
NSW,WOLFE,WOLF,WOLF01,2389,0,463,2852
NSW,WOOLI,WOLI,WOLI01,366,0,0,366
NSW,WOLUMLA,WOLU,WOLU01,186,0,0,186
QLD,WOLVI,WOLV,WOLV01,0,0,0,0
NSW,WOMBAT,WOMT,WOMT01,0,0,0,0
WA,WAROONA,WONA,WONA01,197,0,197,394
VIC,WONTHAGGI,WONE,WONE01,1098,0,449,1547
QLD,WONGA,WONG,WONG01,102,0,0,102
QLD,WOORABINDA,WOOB,WOOB01,0,0,0,0
QLD,WOODFORD,WOOD,WOOD01,186,0,0,186
QLD,WOONGARRA,WOON,WOON01,157,0,0,157
WA,WOOROLOO,WOOR,WOOR01,148,0,0,148
QLD,WOOMBYE,WOOY,WOOY01,259,0,340,599
VIC,WOORI YALLOCK,WORA,WORA01,770,0,401,1171
VIC,WOOLSTHORPE,WORP,WORP01,0,0,0,0
QLD,WOODGATE,WOTE,WOTE01,120,0,0,120
VIC,WILLOW GROVE,WOVE,WOVE01,0,20,0,20
QLD,WOWAN,WOWA,WOWA01,0,0,0,0
NSW,WOY WOY,WOYY,WOYY01,4360,0,242,4602
WA,WICKEPIN,WPIN,WPIN01,93,0,0,93
VIC,WELSHPOOL,WPOL,WPOL01,0,0,27,27
SA,WIRRABARA,WRAB,WRAB01,141,0,0,141
QLD,WINDORAH ,HADN,WRAH01,135,0,0,135
NSW,WALLAROBBA,WRBA,WRBA01,0,0,39,39
NSW,WEROMBI,WRBI,WRBI01,61,0,0,61
NSW,WARIALDA,WRDA,WRDA01,60,0,0,60
SA,WAROOKA,WRKA,WRKA01,159,0,0,159
NSW,WARILLA,WRLA,WRLA01,2768,0,1474,4242
VIC,WHOROULY,WRLY,WRLY01,123,0,0,123
VIC,WANTIRNA,WRNA,WRNA01,830,0,0,830
QLD,WARNER,WRNE,WRNE01,1769,0,747,2516
SA,WALLAROO,WROO,WROO01,197,0,0,197
NSW,WARILLA SHELL COVE OP MDF,WRLA,WRQB01,263,0,0,263
WA,WOORREE,GLTN,WRRE01,759,0,0,759
NSW,WARREN,WRRN,WRRN01,138,0,0,138
VIC,WARRANWOOD,WRWD,WRWD01,589,0,0,589
NT,ARNHEM WEST WARRUWI,ARNW,WRWI01,134,0,0,134
NSW,WESTBROOK,WSBK,WSBK01,132,0,0,132
NSW,WERRIS CREEK,WSCK,WSCK01,46,0,0,46
VIC,WHITTLESEA,WSEA,WSEA01,525,243,434,1202
SA,WISANGER,WSGR,WSGR01,0,0,0,0
NSW,WINDSOR,WSOR,WSOR01,969,0,0,969
NSW,WAGSTAFF POINT,WSTF,WSTF01,358,0,393,751
NSW,WOODSTOCK,WSTK,WSTK01,143,0,0,143
NSW,WEST TAMWORTH,WTAM,WTAM01,176,0,1008,1184
QLD,WATERFORD,WTFD,WTFD01,38,0,436,474
NSW,WEETHALLE,WTLE,WTLE01,0,95,0,95
VIC,WILLIAMSTOWN,WTON,WTON01,2160,0,735,2895
NSW,WILLOW TREE,WTRE,WTRE01,162,0,0,162
QLD,WHITE ROCK,WTRK,WTRK01,1622,0,666,2288
NSW,WEST WALLSEND,WTWD,WTWD01,1468,42,0,1510
SA,WUDINNA,WUDA,WUDA01,186,0,0,186
WA,WUNDOWIE,WUND,WUND01,57,0,0,57
QLD,WURTULLA,WURT,WURT01,3952,0,0,3952
SA,WATERVALE,WVLE,WVLE01,0,4,29,33
NSW,WEE WAA,WWAA,WWAA01,4,0,0,4
